id_event;title;date;days;city
1;Мастер-класс «Время первых» ;4 февраля 2022 г.;1;23
2;Мастер-класс «Как раскрутить Instagram без вложений» с Павлом Борисовым, SMMplanner ;15 апреля 2022 г.;2;4
3;Мастер-класс / Бесплатное;16 ноября 2023 г.;3;56
4;Мастер-класс: «Типология DISC, как инструмент влияния и мотивации в деловой коммуникации» ;14 июля 2023 г.;3;78
5;Машинное обучение и анализ алгоритмов в Санкт-Петербурге ;3 марта 2022 г.;1;8
6;Медиа-Конференция Internet & Digital ;23 июля 2023 г.;2;7
7;Медиа-конференция Internet & Digital 2022;12 декабря 2022 г.;1;78
8;Международный Гранд Форум «Бизнес и ИТ. Вокруг ЦОД. Вокруг Облака. Вокруг IoT. Вокруг IP» (или BIT-2023) ;23 июня 2022 г.;1;9
9;Международный технологический форум RUSH ;21 октября 2022 г.;2;98
10;Международный Форум BIS-2018 «Современная инженерная инфраструктура. Вокруг Автоматизации. Вокруг ЦОД. Вокруг Сетей» ;13 сентября 2023 г.;1;98
11;Методы построения эффективных бизнес-коммуникаций с заказчиком в крупных проектах ;24 декабря 2022 г.;1;98
12;Мини-Гипербатон: текстовые редакторы ;6 октября 2023 г.;2;56
13;Митап / Платное;23 ноября 2023 г.;3;123
14;Митап СберТеха «Automation & Load testing» ;17 февраля 2022 г.;3;34
15;Митап СберТеха MeetUP BLOCKCHAIN Dev ;13 декабря 2022 г.;1;126
16;Моделирование бизнес-процессов на языке BPMN 2.0. Основы ;15 июля 2022 г.;2;234
17;Молодежный фестиваль «Открытое пространство. Brain Fest» ;24 мая 2023 г.;2;23
18;Мотивация персонала ;24 апреля 2022 г.;3;4
19;Навыки публичных выступлений ;28 июля 2022 г.;2;5
20;Надежная и безопасная ИТ-инфраструктура. Неявные факторы риска ;11 декабря 2023 г.;1;8
